dataset,algorithm,n_folds,n_failed,roc_auc_mean,roc_auc_std,train_time_median_s,inference_time_median_s
madelon,catboost,15,0,0.9246489151873767,0.00947640714722972,13.784948976011949,0.0135669149458408
madelon,lightgbm,15,0,0.8946854043392506,0.010396074712995257,0.5225339620374143,0.0076772531028836
madelon,random_forest,15,0,0.778569526627219,0.017838766404005852,0.4855688589159399,0.0307519240304827
madelon,tabicl,15,0,0.970568540433925,0.0029749466290256814,3.3587480168789625,1.3349846119526774
madelon,tabpfn,15,0,0.9666785009861933,0.00602420312629312,0.6090012220665812,2.46174216689542
madelon,xgboost,15,0,0.8838293885601577,0.017768392255264692,1.142261132830754,0.0190094981808215
mfeat-factors,catboost,15,0,0.9989750000000001,0.0007944196424700163,44.14356278791092,0.0082488651387393
mfeat-factors,lightgbm,15,0,0.9987212962962962,0.0008931756853876944,1.4952595180366188,0.008623382076621
mfeat-factors,random_forest,15,0,0.9979108796296295,0.0013995508830857302,0.2501919239293784,0.0271452309098094
mfeat-factors,tabicl,15,0,0.999888425925926,0.00010371817028716414,1.615036197938025,0.4802070250734687
mfeat-factors,tabpfn,15,0,0.9997967592592593,0.0001997826383515516,0.5827027540653944,0.6276235380209982
mfeat-factors,xgboost,15,0,0.9983425925925926,0.0009565800425050622,1.0070832909550518,0.0104447661433368
mfeat-fourier,catboost,15,0,0.9839546296296295,0.001838035596235195,19.06609901599586,0.0048587209894321
mfeat-fourier,lightgbm,15,0,0.9816231481481481,0.0029122905883845482,0.940422753978055,0.005640189978294
mfeat-fourier,random_forest,15,0,0.9812381944444444,0.0021968960775241306,0.16907960397657,0.0147064930060878
mfeat-fourier,tabicl,15,0,0.993675,0.0012642000968678608,0.6163771059946157,0.1912309699691832
mfeat-fourier,tabpfn,15,0,0.9924273148148148,0.0012764908618897463,0.3945596399717033,0.3304063669638708
mfeat-fourier,xgboost,15,0,0.9817138888888889,0.002297712083814157,0.943456763983704,0.0045583809842355
mfeat-karhunen,catboost,15,0,0.9990791666666667,0.0003542911390358168,16.163615885947365,0.0045146390330046
mfeat-karhunen,lightgbm,15,0,0.9983425925925926,0.0005708139423063996,1.0389980380423367,0.0053472440340556
mfeat-karhunen,random_forest,15,0,0.9972701388888888,0.00101660594839929,0.1651459379936568,0.0244055509683676
mfeat-karhunen,tabicl,15,0,0.99985,0.00012620123868448463,0.5083946000086144,0.1715013550128787
mfeat-karhunen,tabpfn,15,0,0.9997879629629629,0.00012919724278256505,0.3950659189722501,0.3155073249945417
mfeat-karhunen,xgboost,15,0,0.9975560185185185,0.0009358689024573498,0.6558651079540141,0.0039499929989688
