dataset,algorithm,fold,roc_auc,train_time_s,inference_time_s,error
pc1,tabpfn,2,0.8531553398058251,0.3323708969401195,0.2862062659114599,
pc1,tabpfn,3,0.8276699029126213,0.3288496530149132,0.2919762269593775,
pc1,tabpfn,4,0.877022653721683,0.3300091599812731,0.4236714059952646,
pc1,tabicl,0,0.8502415458937198,0.2301360130077228,0.0962946390500292,
pc1,tabicl,1,0.9098228663446056,0.3296513630775735,0.0807484280085191,
pc1,tabicl,2,0.8922936893203884,0.2459704539505764,0.0806428110226988,
pc1,tabicl,3,0.8628640776699029,0.2457360029220581,0.0808888890314847,
pc1,tabicl,4,0.9313915857605178,0.2418330080108717,0.0804041730007156,
balance-scale,random_forest,0,0.8256235451040556,0.0891522389138117,0.0131303530652076,
balance-scale,random_forest,1,0.8301611539623962,0.0816024700179696,0.0130010599968954,
balance-scale,random_forest,2,0.8377555455055923,0.0839737539645284,0.0130394180305302,
balance-scale,random_forest,3,0.8295340393355529,0.0820061020785942,0.0129575660685077,
balance-scale,random_forest,4,0.8549946627018166,0.0848158180015161,0.0130258470308035,
balance-scale,xgboost,0,0.9280207791303278,0.246734722983092,0.0021384860156103,
balance-scale,xgboost,1,0.9262701274164604,0.0423328629694879,0.0021027430193498,
balance-scale,xgboost,2,0.9269479369336788,0.0419656449230387,0.0019543319940567,
balance-scale,xgboost,3,0.9400620799992314,0.0420373020460829,0.0019547529518604,
balance-scale,xgboost,4,0.9362955338251272,0.042259813984856,0.0019780070288106,
balance-scale,lightgbm,0,0.9139446452089328,0.0422187220538035,0.0012011888902634,
balance-scale,lightgbm,1,0.9271929495874646,0.0407470000209286,0.0011464880080893,
balance-scale,lightgbm,2,0.9315998801732784,0.0406418619677424,0.0011435140622779,
balance-scale,lightgbm,3,0.926740489250469,0.0452125520678237,0.002054470940493,
balance-scale,lightgbm,4,0.926311926955262,0.0405639159725979,0.0011568729532882,
